chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,torch,pass,,,2044.442,0.065906,65.906,,23.99,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,902.554,0.297999,297.999,268.96,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,torch,pass,,,3692.314,0.072843,72.843,,24.44,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,1719.45,0.312539,312.539,537.395,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,6973.235,0.077065,77.065,,24.66,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,6.963,0.188241,188.241,1.311,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
