chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),wall_us,throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,wall_relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,6.272,39.066,0.10449,104.49,0.655,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,33.766,41.882,0.031054,31.054,1.049,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,1024,512,0,0,bfloat16,int32,10,torch,pass,,,60.493,60.544,0.017334,17.334,,55.82,69.18,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,41.651,45.286,0.062938,62.938,2.621,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,4096,512,0,0,bfloat16,int32,10,torch,pass,,,216.141,202.342,0.012128,12.128,,19.27,22.38,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,69.76,68.685,0.127765,127.765,8.913,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,16384,512,0,0,bfloat16,int32,10,torch,pass,,,319.949,305.818,0.027857,27.857,,21.8,22.46,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,174.515,174.541,0.195277,195.277,34.079,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,65536,512,0,0,bfloat16,int32,10,torch,pass,,,709.76,701.005,0.048014,48.014,,24.59,24.9,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,283.392,283.494,0.238656,238.656,67.633,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,131072,512,0,0,bfloat16,int32,10,torch,pass,,,1208.832,1195.597,0.055949,55.949,,23.44,23.71,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,490.573,489.6,0.274663,274.663,134.742,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,torch,pass,,,2041.344,2036.48,0.066007,66.007,,24.03,24.04,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,901.581,897.715,0.29832,298.32,268.96,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,torch,pass,,,3698.304,3682.406,0.072725,72.725,,24.38,24.38,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,1720.32,1711.334,0.312381,312.381,537.395,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,6970.982,6976.743,0.07709,77.09,,24.68,24.53,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,7.296,38.733,0.179649,179.649,1.311,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,46.131,48.589,0.045461,45.461,2.097,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,1024,512,0,0,bfloat16,int32,10,torch,pass,,,92.237,93.363,0.022737,22.737,,50.01,52.04,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,58.701,58.726,0.089315,89.315,5.243,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,4096,512,0,0,bfloat16,int32,10,torch,pass,,,253.44,242.202,0.020687,20.687,,23.16,24.25,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,100.173,100.992,0.17795,177.95,17.826,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,16384,512,0,0,bfloat16,int32,10,torch,pass,,,466.816,452.787,0.038186,38.186,,21.46,22.3,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,286.49,286.003,0.237905,237.905,68.157,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,65536,512,0,0,bfloat16,int32,10,torch,pass,,,1200.794,1195.725,0.05676,56.76,,23.86,23.92,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,468.915,468.915,0.288467,288.467,135.266,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,131072,512,0,0,bfloat16,int32,10,torch,pass,,,2148.992,2137.83,0.062944,62.944,,21.82,21.93,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,821.606,818.842,0.327997,327.997,269.484,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,262144,512,0,0,bfloat16,int32,10,torch,pass,,,3786.803,3783.757,0.071164,71.164,,21.7,21.64,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,1520.794,1514.522,0.35371,353.71,537.919,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,524288,512,0,0,bfloat16,int32,10,torch,pass,,,7052.544,7055.846,0.076273,76.273,,21.56,21.46,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,512,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
